Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.2D2_7.qasm,180,107,73(40.56%),,45,28,17(37.78%),,90(x),42(x),48(53.33%),,90(cx),65(cx),25(27.78%),,1.641664743423462,31.0390625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.2D2_8.qasm,180,104,76(42.22%),,45,21,24(53.33%),,90(x),36(x),54(60.00%),,90(cx),68(cx),22(24.44%),,2.811448812484741,30.640625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.2D2_9.qasm,180,104,76(42.22%),,45,28,17(37.78%),,90(x),30(x),60(66.67%),,90(cx),74(cx),16(17.78%),,2.015798568725586,31.12890625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_0.qasm,225,145,80(35.56%),,45,30,15(33.33%),,90(x),46(x),44(48.89%),,135(cx),99(cx),36(26.67%),,3.1877822875976562,31.1171875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_1.qasm,225,143,82(36.44%),,45,27,18(40.00%),,90(x),42(x),48(53.33%),,135(cx),101(cx),34(25.19%),,3.265270471572876,31.19140625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_2.qasm,225,140,85(37.78%),,45,28,17(37.78%),,90(x),44(x),46(51.11%),,135(cx),96(cx),39(28.89%),,3.0468873977661133,30.99609375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_3.qasm,225,149,76(33.78%),,45,28,17(37.78%),,90(x),50(x),40(44.44%),,135(cx),99(cx),36(26.67%),,3.093756675720215,31.06640625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_4.qasm,225,160,65(28.89%),,45,29,16(35.56%),,90(x),48(x),42(46.67%),,135(cx),112(cx),23(17.04%),,2.40627384185791,31.234375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_5.qasm,225,148,77(34.22%),,45,27,18(40.00%),,90(x),46(x),44(48.89%),,135(cx),102(cx),33(24.44%),,3.1093685626983643,30.09375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_6.qasm,225,130,95(42.22%),,45,28,17(37.78%),,90(x),38(x),52(57.78%),,135(cx),92(cx),43(31.85%),,4.00001072883606,30.7421875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_7.qasm,225,149,76(33.78%),,45,29,16(35.56%),,90(x),54(x),36(40.00%),,135(cx),95(cx),40(29.63%),,4.546823978424072,30.5390625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_8.qasm,225,136,89(39.56%),,45,29,16(35.56%),,90(x),40(x),50(55.56%),,135(cx),96(cx),39(28.89%),,4.046870470046997,31.203125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.3D2_9.qasm,225,143,82(36.44%),,45,28,17(37.78%),,90(x),42(x),48(53.33%),,135(cx),101(cx),34(25.19%),,4.984450817108154,31.1953125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.4D2_0.qasm,270,164,106(39.26%),,45,34,11(24.44%),,90(x),48(x),42(46.67%),,180(cx),116(cx),64(35.56%),,4.2031025886535645,30.953125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.4D2_1.qasm,270,191,79(29.26%),,45,39,6(13.33%),,90(x),52(x),38(42.22%),,180(cx),139(cx),41(22.78%),,6.218755006790161,31.09765625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.4D2_2.qasm,270,177,93(34.44%),,45,34,11(24.44%),,90(x),54(x),36(40.00%),,180(cx),123(cx),57(31.67%),,4.3125410079956055,30.5625
