Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_2.qasm,360,201,159(44.17%),,45,45,0(-),,0(),0(),0(-),,360(cx),201(cx),159(44.17%),,23.501620054244995
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_3.qasm,360,198,162(45.00%),,45,45,0(-),,0(),0(),0(-),,360(cx),198(cx),162(45.00%),,23.407602071762085
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_4.qasm,360,209,151(41.94%),,45,45,0(-),,0(),0(),0(-),,360(cx),209(cx),151(41.94%),,23.732085704803467
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_5.qasm,360,207,153(42.50%),,45,45,0(-),,0(),0(),0(-),,360(cx),207(cx),153(42.50%),,19.765618085861206
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_6.qasm,360,202,158(43.89%),,45,44,1(2.22%),,0(),0(),0(-),,360(cx),202(cx),158(43.89%),,19.360787630081177
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_7.qasm,360,197,163(45.28%),,45,43,2(4.44%),,0(),0(),0(-),,360(cx),197(cx),163(45.28%),,19.234453439712524
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_8.qasm,360,198,162(45.00%),,45,46,-1(-2.22%),,0(),0(),0(-),,360(cx),198(cx),162(45.00%),,19.25175714492798
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_9.qasm,360,208,152(42.22%),,45,42,3(6.67%),,0(),0(),0(-),,360(cx),208(cx),152(42.22%),,23.86149549484253
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.1D2_0.qasm,135,68,67(49.63%),,45,25,20(44.44%),,90(x),30(x),60(66.67%),,45(cx),38(cx),7(15.56%),,0.7586770057678223
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.1D2_1.qasm,135,81,54(40.00%),,45,21,24(53.33%),,90(x),42(x),48(53.33%),,45(cx),39(cx),6(13.33%),,0.9999606609344482
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.1D2_2.qasm,135,55,80(59.26%),,45,18,27(60.00%),,90(x),28(x),62(68.89%),,45(cx),27(cx),18(40.00%),,0.7656464576721191
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.1D1_.1D2_3.qasm,135,60,75(55.56%),,45,21,24(53.33%),,90(x),28(x),62(68.89%),,45(cx),32(cx),13(28.89%),,0.8125181198120117
