Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_3.qasm,135,72,63(46.67%),,45,25,20(44.44%),,90(x),36(x),54(60.00%),,45(cx),36(cx),9(20.00%),,9.688630104064941,17.421875
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_4.qasm,135,66,69(51.11%),,45,23,22(48.89%),,90(x),28(x),62(68.89%),,45(cx),38(cx),7(15.56%),,9.908137083053589,17.46875
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_5.qasm,135,70,65(48.15%),,45,17,28(62.22%),,90(x),32(x),58(64.44%),,45(cx),38(cx),7(15.56%),,9.067644834518433,17.34375
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_6.qasm,135,78,57(42.22%),,45,22,23(51.11%),,90(x),40(x),50(55.56%),,45(cx),38(cx),7(15.56%),,11.048635959625244,17.5390625
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_7.qasm,135,62,73(54.07%),,45,23,22(48.89%),,90(x),24(x),66(73.33%),,45(cx),38(cx),7(15.56%),,9.892164707183838,17.54296875
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_8.qasm,135,65,70(51.85%),,45,18,27(60.00%),,90(x),26(x),64(71.11%),,45(cx),39(cx),6(13.33%),,9.610643863677979,17.26171875
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_9.qasm,135,58,77(57.04%),,45,15,30(66.67%),,90(x),26(x),64(71.11%),,45(cx),32(cx),13(28.89%),,8.172621726989746,17.1640625
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_0.qasm,180,115,65(36.11%),,45,27,18(40.00%),,90(x),40(x),50(55.56%),,90(cx),75(cx),15(16.67%),,20.25200080871582,17.65625
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_1.qasm,180,125,55(30.56%),,45,37,8(17.78%),,90(x),46(x),44(48.89%),,90(cx),79(cx),11(12.22%),,21.736621856689453,17.26171875
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_2.qasm,180,115,65(36.11%),,45,29,16(35.56%),,90(x),38(x),52(57.78%),,90(cx),77(cx),13(14.44%),,20.845951557159424,17.453125
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_3.qasm,180,118,62(34.44%),,45,23,22(48.89%),,90(x),46(x),44(48.89%),,90(cx),72(cx),18(20.00%),,19.611804246902466,17.30859375
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_4.qasm,180,132,48(26.67%),,45,28,17(37.78%),,90(x),48(x),42(46.67%),,90(cx),84(cx),6(6.67%),,22.456018209457397,17.56640625
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_5.qasm,180,119,61(33.89%),,45,27,18(40.00%),,90(x),40(x),50(55.56%),,90(cx),79(cx),11(12.22%),,21.627013444900513,17.5078125
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_6.qasm,180,119,61(33.89%),,45,28,17(37.78%),,90(x),44(x),46(51.11%),,90(cx),75(cx),15(16.67%),,20.189661502838135,17.1484375
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_7.qasm,180,112,68(37.78%),,45,31,14(31.11%),,90(x),40(x),50(55.56%),,90(cx),72(cx),18(20.00%),,20.03347373008728,17.54296875
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_8.qasm,180,114,66(36.67%),,45,22,23(51.11%),,90(x),34(x),56(62.22%),,90(cx),80(cx),10(11.11%),,21.158507585525513,17.19921875
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_9.qasm,180,108,72(40.00%),,45,28,17(37.78%),,90(x),34(x),56(62.22%),,90(cx),74(cx),16(17.78%),,21.565651178359985,17.48828125
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_0.qasm,225,159,66(29.33%),,45,31,14(31.11%),,90(x),48(x),42(46.67%),,135(cx),111(cx),24(17.78%),,34.31736183166504,17.37890625
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_1.qasm,225,158,67(29.78%),,45,29,16(35.56%),,90(x),44(x),46(51.11%),,135(cx),114(cx),21(15.56%),,34.80249810218811,17.51171875
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_2.qasm,225,154,71(31.56%),,45,32,13(28.89%),,90(x),44(x),46(51.11%),,135(cx),110(cx),25(18.52%),,32.50463509559631,17.51171875
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_3.qasm,225,163,62(27.56%),,45,31,14(31.11%),,90(x),52(x),38(42.22%),,135(cx),111(cx),24(17.78%),,34.15919876098633,17.3125
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_4.qasm,225,162,63(28.00%),,45,30,15(33.33%),,90(x),48(x),42(46.67%),,135(cx),114(cx),21(15.56%),,34.04973530769348,17.2578125
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_5.qasm,225,157,68(30.22%),,45,33,12(26.67%),,90(x),44(x),46(51.11%),,135(cx),113(cx),22(16.30%),,34.456289529800415,17.328125
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_6.qasm,225,144,81(36.00%),,45,29,16(35.56%),,90(x),38(x),52(57.78%),,135(cx),106(cx),29(21.48%),,31.049858570098877,17.1328125
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_7.qasm,225,165,60(26.67%),,45,32,13(28.89%),,90(x),54(x),36(40.00%),,135(cx),111(cx),24(17.78%),,31.784915924072266,17.5
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_8.qasm,225,148,77(34.22%),,45,29,16(35.56%),,90(x),44(x),46(51.11%),,135(cx),104(cx),31(22.96%),,31.472126483917236,17.046875
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_9.qasm,225,156,69(30.67%),,45,31,14(31.11%),,90(x),46(x),44(48.89%),,135(cx),110(cx),25(18.52%),,33.12850737571716,16.98828125
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_0.qasm,270,182,88(32.59%),,45,36,9(20.00%),,90(x),44(x),46(51.11%),,180(cx),138(cx),42(23.33%),,42.28528380393982,17.65234375
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_1.qasm,270,199,71(26.30%),,45,40,5(11.11%),,90(x),52(x),38(42.22%),,180(cx),147(cx),33(18.33%),,47.92641997337341,17.46484375
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_2.qasm,270,202,68(25.19%),,45,41,4(8.89%),,90(x),52(x),38(42.22%),,180(cx),150(cx),30(16.67%),,46.976165771484375,17.48828125
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_3.qasm,270,195,75(27.78%),,45,36,9(20.00%),,90(x),50(x),40(44.44%),,180(cx),145(cx),35(19.44%),,48.58494329452515,17.32421875
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_4.qasm,270,191,79(29.26%),,45,37,8(17.78%),,90(x),52(x),38(42.22%),,180(cx),139(cx),41(22.78%),,44.80065727233887,17.14453125
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_5.qasm,270,180,90(33.33%),,45,35,10(22.22%),,90(x),44(x),46(51.11%),,180(cx),136(cx),44(24.44%),,45.1763117313385,17.140625
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_6.qasm,270,207,63(23.33%),,45,37,8(17.78%),,90(x),52(x),38(42.22%),,180(cx),155(cx),25(13.89%),,50.06711149215698,17.41796875
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_7.qasm,270,207,63(23.33%),,45,39,6(13.33%),,90(x),52(x),38(42.22%),,180(cx),155(cx),25(13.89%),,51.334233045578,17.4921875
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_8.qasm,270,190,80(29.63%),,45,39,6(13.33%),,90(x),48(x),42(46.67%),,180(cx),142(cx),38(21.11%),,45.66274881362915,17.625
