Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_0.qasm,315,176,139(44.13%),,45,41,4(8.89%),,0(),0(),0(-),,315(cx),176(cx),139(44.13%),,13.125061988830566,32.44921875
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_1.qasm,315,192,123(39.05%),,45,45,0(-),,0(),0(),0(-),,315(cx),192(cx),123(39.05%),,17.328030109405518,32.51171875
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_2.qasm,315,181,134(42.54%),,45,44,1(2.22%),,0(),0(),0(-),,315(cx),181(cx),134(42.54%),,20.406312465667725,32.171875
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_3.qasm,315,190,125(39.68%),,45,45,0(-),,0(),0(),0(-),,315(cx),190(cx),125(39.68%),,20.828110694885254,31.78125
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_4.qasm,315,183,132(41.90%),,45,38,7(15.56%),,0(),0(),0(-),,315(cx),183(cx),132(41.90%),,20.312930822372437,31.76171875
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_5.qasm,315,188,127(40.32%),,45,43,2(4.44%),,0(),0(),0(-),,315(cx),188(cx),127(40.32%),,17.187089204788208,32.4296875
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_6.qasm,315,202,113(35.87%),,45,43,2(4.44%),,0(),0(),0(-),,315(cx),202(cx),113(35.87%),,17.99995517730713,30.9609375
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_7.qasm,315,179,136(43.17%),,45,38,7(15.56%),,0(),0(),0(-),,315(cx),179(cx),136(43.17%),,16.500037908554077,31.6796875
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_8.qasm,315,185,130(41.27%),,45,37,8(17.78%),,0(),0(),0(-),,315(cx),185(cx),130(41.27%),,20.546876668930054,31.421875
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_9.qasm,315,181,134(42.54%),,45,38,7(15.56%),,0(),0(),0(-),,315(cx),181(cx),134(42.54%),,20.468716621398926,31.640625
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_0.qasm,360,225,135(37.50%),,45,45,0(-),,0(),0(),0(-),,360(cx),225(cx),135(37.50%),,16.265676975250244,31.67578125
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_1.qasm,360,197,163(45.28%),,45,42,3(6.67%),,0(),0(),0(-),,360(cx),197(cx),163(45.28%),,19.15673327445984,32.41796875
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_2.qasm,360,203,157(43.61%),,45,46,-1(-2.22%),,0(),0(),0(-),,360(cx),203(cx),157(43.61%),,19.54663395881653,31.671875
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_3.qasm,360,199,161(44.72%),,45,43,2(4.44%),,0(),0(),0(-),,360(cx),199(cx),161(44.72%),,23.280959129333496,32.1796875
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_4.qasm,360,208,152(42.22%),,45,48,-3(-6.67%),,0(),0(),0(-),,360(cx),208(cx),152(42.22%),,23.499996185302734,32.7734375
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_5.qasm,360,205,155(43.06%),,45,44,1(2.22%),,0(),0(),0(-),,360(cx),205(cx),155(43.06%),,19.56253695487976,32.27734375
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_6.qasm,360,201,159(44.17%),,45,44,1(2.22%),,0(),0(),0(-),,360(cx),201(cx),159(44.17%),,19.187535762786865,31.94140625
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_7.qasm,360,197,163(45.28%),,45,43,2(4.44%),,0(),0(),0(-),,360(cx),197(cx),163(45.28%),,19.234318733215332,31.66796875
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_8.qasm,360,203,157(43.61%),,45,43,2(4.44%),,0(),0(),0(-),,360(cx),203(cx),157(43.61%),,19.32815170288086,32.14453125
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_9.qasm,360,211,149(41.39%),,45,44,1(2.22%),,0(),0(),0(-),,360(cx),211(cx),149(41.39%),,24.015597343444824,32.078125
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_0.qasm,135,66,69(51.11%),,45,25,20(44.44%),,90(x),28(x),62(68.89%),,45(cx),38(cx),7(15.56%),,0.7500231266021729,30.93359375
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_1.qasm,135,81,54(40.00%),,45,21,24(53.33%),,90(x),42(x),48(53.33%),,45(cx),39(cx),6(13.33%),,0.7972543239593506,30.55078125
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_2.qasm,135,57,78(57.78%),,45,19,26(57.78%),,90(x),28(x),62(68.89%),,45(cx),29(cx),16(35.56%),,0.7652044296264648,30.51953125
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_3.qasm,135,60,75(55.56%),,45,21,24(53.33%),,90(x),28(x),62(68.89%),,45(cx),32(cx),13(28.89%),,0.8126654624938965,30.46875
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_4.qasm,135,59,76(56.30%),,45,16,29(64.44%),,90(x),26(x),64(71.11%),,45(cx),33(cx),12(26.67%),,0.8747861385345459,30.46875
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_5.qasm,135,66,69(51.11%),,45,14,31(68.89%),,90(x),34(x),56(62.22%),,45(cx),32(cx),13(28.89%),,0.9219720363616943,30.484375
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_6.qasm,135,68,67(49.63%),,45,17,28(62.22%),,90(x),34(x),56(62.22%),,45(cx),34(cx),11(24.44%),,0.7187199592590332,30.47265625
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_7.qasm,135,59,76(56.30%),,45,20,25(55.56%),,90(x),26(x),64(71.11%),,45(cx),33(cx),12(26.67%),,0.8280689716339111,30.484375
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_8.qasm,135,55,80(59.26%),,45,20,25(55.56%),,90(x),20(x),70(77.78%),,45(cx),35(cx),10(22.22%),,0.7187795639038086,29.83203125
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_9.qasm,135,58,77(57.04%),,45,17,28(62.22%),,90(x),28(x),62(68.89%),,45(cx),30(cx),15(33.33%),,0.7968997955322266,29.8984375
